file,event_sample,event_t,ev_duration_s,ev_peak_dbfs,ev_rms_dbfs,ev_crest_factor,ev_peak_freq,ev_centroid_mean,ev_bandwidth_mean,ev_rolloff85_mean,ev_rolloff95_mean,ev_flatness_mean,ev_zcr_mean,ev_band_300-1000_E,ev_band_1000-3000_E,ev_band_3000-8000_E,ev_band_300-1000_ratio,ev_band_1000-3000_ratio,ev_band_3000-8000_ratio,ev_mfcc_1_mean,ev_mfcc_2_mean,ev_mfcc_3_mean,ev_mfcc_4_mean,ev_mfcc_5_mean,ev_mfcc_6_mean,ev_mfcc_7_mean,ev_mfcc_8_mean,ev_mfcc_9_mean,ev_mfcc_10_mean,ev_mfcc_11_mean,ev_mfcc_12_mean,ev_mfcc_13_mean,bg_duration_s,bg_peak_dbfs,bg_rms_dbfs,bg_crest_factor,bg_peak_freq,bg_centroid_mean,bg_bandwidth_mean,bg_rolloff85_mean,bg_rolloff95_mean,bg_flatness_mean,bg_zcr_mean,bg_band_300-1000_E,bg_band_1000-3000_E,bg_band_3000-8000_E,bg_band_300-1000_ratio,bg_band_1000-3000_ratio,bg_band_3000-8000_ratio,bg_mfcc_1_mean,bg_mfcc_2_mean,bg_mfcc_3_mean,bg_mfcc_4_mean,bg_mfcc_5_mean,bg_mfcc_6_mean,bg_mfcc_7_mean,bg_mfcc_8_mean,bg_mfcc_9_mean,bg_mfcc_10_mean,bg_mfcc_11_mean,bg_mfcc_12_mean,bg_mfcc_13_mean,diff_centroid_mean,diff_bandwidth_mean,diff_rolloff85_mean,diff_rolloff95_mean,diff_flatness_mean,diff_zcr_mean,diff_peak_freq,diff_peak_dbfs,diff_rms_dbfs,diff_crest_factor,diff_band_300-1000_ratio,diff_band_1000-3000_ratio,diff_band_3000-8000_ratio
recordings/recordings/audio_20250904_153256.wav,175360,3.976417233560091,0.55,-0.45934678371920495,-29.6579172943275,28.835568996741983,2134.5454545454545,4715.013705782488,4936.508677762525,10165.938527960527,16132.67578125,0.04308148913012511,0.10301717122395833,2619.1440695411866,64785.50863157651,37110.7410223621,0.021963370901803485,0.5432721978468968,0.3111997461283965,-510.1366108384346,72.98312260760247,-47.04790385943562,-18.306581897449078,-13.002048735758015,-18.006050711646292,-36.6737813216313,-21.38077905832346,-21.017876627824005,-23.083672503791632,-15.60604128397412,-10.702375165212175,-14.351660304448771,0.5,-46.48814272128072,-61.12170424816591,5.391108548831019,544.0,4612.903876155737,5368.58027451863,10767.839102909482,17017.418170797413,0.037008732470353446,0.06759366122159091,44.23869600928225,17.08370744205572,3.090416630252868,0.6664432842354119,0.2573611593843469,0.046556241356872474,-592.0607779814685,82.3657459077012,-32.74718050342256,-30.745967805965567,-43.57575764390149,-28.46010254493029,-33.55397245083079,-30.414725923562436,-38.24704143136953,-35.2682692892269,-26.11397679298128,-14.772861316254462,-24.12809193521302,102.10982962675098,-432.07159675610546,-601.9005749489552,-884.742389547413,0.0060727566597716665,0.03542351000236742,1590.5454545454545,46.02879593756151,31.46378695383841,23.444460447910963,-0.6444799133336084,0.28591103846254995,0.26464350477152404
recordings/recordings/audio_20250904_153342.wav,344832,7.819319727891156,0.55,0.085623396361554,-30.903312760783304,35.43617255990277,2321.8181818181815,4767.074510938341,5028.113679697302,10267.711245888158,16212.461965460527,0.04325658141729472,0.09788004557291667,1279.2524217854534,61938.18697843798,16591.130303358677,0.014535471330633066,0.7037709882463425,0.18851627306726573,-472.65993544902375,75.90461549558724,-44.54382212946454,-21.683221822242903,-30.503688226141858,-19.760210848507587,-38.08202464047562,-22.40675379034056,-18.01292730736127,-21.421286487334886,-17.31050926455406,-9.211652039931417,-15.069119272859844,0.5,-41.05663339976794,-59.35081661135713,8.21692192758328,462.0,4728.701937440027,5412.351993263478,11014.109644396553,17066.177262931036,0.04102179915761395,0.08357377485795454,70.62813892875144,24.590155612536716,4.893666535374899,0.6497320533003114,0.22621312892337453,0.04501848773622163,-564.0918593257511,81.1225896382564,-31.199093544348273,-28.01829581889045,-42.91243698593577,-29.88432747248733,-37.4186861957375,-28.054017903213676,-32.04166820882818,-31.37715493464199,-26.994396488126938,-17.49413138101318,-22.530501301067133,38.37257349831361,-384.23831356617575,-746.3983985083942,-853.7152974705095,0.0022347822596807745,0.014306270714962127,1859.8181818181815,41.142256796129494,28.447503850573828,27.219250632319493,-0.6351965819696783,0.477557859322968,0.1434977853310441
recordings/recordings/audio_20250904_153409.wav,114688,2.6006349206349206,0.55,-0.14380763572279961,-31.597540709485944,37.38407623857421,2420.0,4803.617750749498,5077.02359152161,10435.216899671053,16631.33943256579,0.04284475154925213,0.10584513346354167,609.8997668486676,45209.6602811486,27265.71187141767,0.00770621628635068,0.5712338966107771,0.34450820332023374,-491.33391035576227,74.85254919505012,-46.19194701368057,-20.150209103916804,-20.38260453742832,-20.127738428980503,-38.53269169816418,-18.885847390669447,-17.874104746727685,-22.041846162309326,-16.125586363994362,-10.778836143127647,-15.862236247029665,0.5,-41.48854551831276,-57.42647287325365,6.26464358606518,420.0,4788.954091010027,5492.264276440899,10995.794046336207,17368.384630926725,0.04092114051310576,0.07854669744318182,137.33970551489122,36.20075785927543,7.123487964684802,0.737479999506657,0.19438905004281054,0.03825135550557749,-559.255589249019,79.05859804150008,-27.714719691362504,-27.31097530224273,-44.961171823381264,-29.065386565335647,-34.006075377795405,-30.881783650518162,-36.49935619364397,-36.161444381616725,-25.410612689576716,-17.292946096587375,-25.69553781424055,14.663659739470859,-415.2406849192894,-560.5771466651531,-737.0451983609346,0.0019236110361463693,0.027298436020359848,2000.0,41.34473788258996,25.828932163767707,31.11943265250903,-0.7297737832203063,0.3768448465679665,0.30625684781465623
recordings/recordings/audio_20250904_153500.wav,101888,2.3103854875283445,0.55,-0.17527104413263678,-33.03005298261684,43.92776394384521,2449.090909090909,4847.023769164438,4918.970605797359,10139.418688322368,15760.264699835527,0.0560414094493203,0.09660847981770833,311.30065534069706,13112.801724983838,25104.533354816936,0.005518368888609805,0.23244820028555793,0.44502339924941936,-468.73563631378255,70.89147815593424,-54.44997261727135,-25.247783347348005,-28.70592878225142,-17.108020605918764,-37.6062087001204,-30.199707534240193,-24.896673481973732,-22.87281859632438,-21.398325798973943,-14.883597755737787,-18.497882365719196,0.5,-17.405823162275865,-44.42713200031828,22.44220069836949,2626.0,4423.206177855952,4999.673471182993,9852.306707974138,15800.668440193966,0.03626223793589298,0.07237659801136363,411.035751587951,825.1474051399573,72.67354898118775,0.3068617554525814,0.6160198480793467,0.054254971080209435,-490.3386797070172,86.0775442785259,-44.351187193035166,-30.955575614589566,-41.27091126202134,-25.487824153714858,-36.69828175234312,-30.370520137085748,-31.481479961339797,-29.223656807544867,-23.59853313089983,-15.011589709371515,-21.613686371633147,423.81759130848604,-80.70286538563414,287.11198034823065,-40.40374035843888,0.01977917151342732,0.024231881806344696,-176.909090909091,17.23055211814323,11.397079017701444,21.485563245475717,-0.3013433865639716,-0.38357164779378883,0.3907684281692099
recordings/recordings/audio_20250904_153529.wav,77056,1.7473015873015874,0.55,-0.20389564012780279,-29.81219198750872,30.228376122179792,2372.7272727272725,4886.328787720274,5124.7092230967555,10576.656044407895,16500.32689144737,0.05134456291101389,0.08089192708333333,2890.5691756824576,72342.71413150092,18357.691690010615,0.025360593361158607,0.6347034249053664,0.16106238104125686,-457.54441455276805,76.28904915330106,-41.85865411941332,-24.314805961332002,-30.435583364638806,-15.493850383658634,-32.07238751296538,-24.054048326299966,-20.952100722921212,-22.356060123466786,-19.18604442658076,-12.777803161940492,-15.406823581763383,0.5,-39.007733303750626,-54.16586397097143,5.726727700155537,562.0,4767.6199288568505,5355.387498120308,10846.051656788793,17059.494544719826,0.045534431702980244,0.0614013671875,231.78660639209303,108.27615257922129,21.336809451403404,0.6198910153885678,0.2895741700068768,0.05706324744928853,-515.5144595105814,78.2416178834044,-37.635989588123394,-32.77584478864305,-46.35224454124368,-28.46310974330704,-31.828116812955795,-27.68927654075161,-35.266264198597256,-33.9542320920551,-25.023431709647777,-15.612689734237565,-26.067386255532753,118.7088588634233,-230.6782750235525,-269.39561238089846,-559.1676532724559,0.005810131208033649,0.01949055989583333,1810.7272727272725,38.80383766362282,24.35367198346271,24.501648422024257,-0.5945304220274092,0.34512925489848956,0.10399913359196833
recordings/recordings/audio_20250904_153604.wav,113152,2.5658049886621317,0.55,-0.12540917435284488,-32.20993692046966,40.20003093685237,2240.0,4785.710923287443,5145.86440752061,10521.123046875,16480.60701069079,0.04507631866260165,0.077301025390625,869.2111259784042,45229.43383662216,11205.82693637734,0.012537094989584384,0.6523682122643957,0.16162760983997868,-449.1619022420946,77.5006470660727,-41.1334772004807,-24.237270707119762,-31.868495220006675,-18.86607561649301,-33.89204578271198,-24.886525517286724,-23.508648706010206,-23.418793584562223,-20.16772871642742,-11.165552903980734,-19.960120343728168,0.5,-36.559383358856145,-52.65133748134508,6.376725263371278,406.0,4640.346183402709,5304.415929186894,10567.605064655172,16876.091056034482,0.03998758153919659,0.061212713068181816,263.9436757707455,103.54697004840881,21.67351244048568,0.6494531772792356,0.2547850729865093,0.0533293001856216,-494.5607536156898,80.92840196270423,-34.79353370269192,-30.004111170268583,-48.30785688257723,-30.501459738499157,-33.83903926431049,-29.747212434436268,-32.521699518694454,-32.600244270306206,-26.48205265808473,-16.43062777468705,-25.435958906493894,145.36473988473335,-158.5515216662834,-46.4820177801721,-395.48404534369183,0.00508873712340506,0.016088312322443184,1834.0,36.4339741845033,20.441400560875422,33.823305673481094,-0.6369160822896512,0.39758313927788635,0.10829830965435708
recordings/recordings/audio_20250904_153701.wav,96768,2.1942857142857144,0.55,-0.1763769474803392,-30.508239283338053,32.85436795850469,2487.272727272727,4883.489131680399,5032.802463398442,10541.296258223685,16226.51521381579,0.04776460630378402,0.105224609375,505.16171693301743,51315.55472046706,33722.65272126203,0.005224207521227123,0.5306876945351597,0.3487479951009578,-511.2523682767616,72.35711511758001,-43.39596961041021,-14.77328925763745,-21.338723063531045,-16.740356619650484,-33.02278255164285,-20.488904361005464,-22.995360653206024,-19.361417526214904,-19.17878849338511,-10.404299956301282,-14.894498742736564,0.5,-46.38240303062809,-60.28319958144269,4.954956287928463,362.0,4783.050535465572,5472.045870705355,11083.411907327587,17289.924568965518,0.040881774802172706,0.08198686079545454,59.436425665732315,22.249857109276665,3.8547649336340024,0.6692498982420082,0.2505317982953301,0.043404377209526335,-576.2964710516136,80.65683527139419,-28.28217161786142,-30.05595649297509,-48.33996055329135,-30.695262138655007,-33.401440628833406,-27.405178256234354,-33.46875708512834,-32.813946750585046,-23.83749636906465,-16.465647111859944,-27.194311748304315,100.43859621482716,-439.24340730691256,-542.1156491039019,-1063.409355149728,0.006882831501611314,0.023237748579545456,2125.272727272727,46.20602608314775,29.774960298104634,27.899411670576225,-0.6640256907207811,0.2801558962398296,0.30534361789143144
recordings/recordings/audio_20250904_153750.wav,118272,2.681904761904762,0.55,0.39906107194086116,-30.96898673599079,37.01709984826878,2178.181818181818,4825.954500065571,4794.013952935842,9922.726665296053,15542.439350328947,0.04748846570667551,0.114013671875,701.7777264846469,34564.576470180975,47254.39635867785,0.007660084896397529,0.37728126752595526,0.5157939247355261,-531.9626319940506,69.47520497613893,-50.399131592379604,-13.387347454212886,-20.802363423983774,-15.947098621766472,-30.4537890696443,-16.72352830661842,-18.221725445035815,-22.27136403462512,-18.25368690920062,-13.40825785399212,-12.646786352858264,0.5,-47.74831539954407,-68.55921505429131,10.978549964513718,416.0,5458.201208675888,5808.020055252068,12697.907125538793,17984.679754849138,0.061976625377205545,0.118408203125,6.183895672876498,3.211879675639512,0.6028215081196814,0.5765881237205144,0.2994765393465309,0.05620724227765277,-650.1769868282627,69.79940776653821,-26.44323479756632,-24.129681724267336,-34.24717004315344,-29.573782506829914,-36.40146488141692,-24.658346463362275,-31.094479892248135,-30.122560758213048,-29.193893619295466,-20.991488169117893,-21.879040213384414,-632.246708610317,-1014.0061023162261,-2775.18046024274,-2442.240404520191,-0.014488159670530035,-0.00439453125,1762.181818181818,48.14737647148493,37.590228318300525,26.03854988375506,-0.5689280388241168,0.07780472817942435,0.4595866824578733
recordings/recordings/audio_20250904_153805.wav,188928,4.284081632653061,0.55,0.5325362090537769,-31.002159194735942,37.73416726214736,2529.090909090909,4767.997406414069,4854.668830773067,9890.540193256578,15857.05078125,0.0450248403224647,0.10740152994791667,1734.4255690951481,16941.88999587135,51592.52781265098,0.019212160287448977,0.18766461471322593,0.5714882965479068,-533.3182445884278,72.3905860531266,-48.71423627599737,-12.94630645375608,-26.005350890751092,-18.22230570928688,-30.778505380743592,-24.56426510597993,-19.878768173632707,-15.213234874347007,-18.65805596995651,-22.43451894662027,-17.47389853421184,0.5,-39.9800003365815,-64.57114748107605,16.965136458367173,508.0,4854.272396462996,5457.139505838133,11120.538119612069,17309.725215517243,0.04882513161961769,0.08994362571022728,16.248711362306278,7.0497933753537545,1.8769591006338993,0.5960983853222558,0.2586279215749107,0.06885790905236287,-624.9019324213208,78.70159649315029,-34.03532917021386,-27.64674911612772,-39.39074577860853,-29.89486453611423,-34.78963348616368,-27.970309632651254,-32.32282781353341,-30.67848408976198,-25.904623122853135,-20.21593399320891,-24.24350849973138,-86.27499004892707,-602.4706750650657,-1229.9979263554906,-1452.6744342672428,-0.003800291297152994,0.017457904237689392,2021.090909090909,40.51253654563527,33.568988286340115,20.769030803780186,-0.5768862250348068,-0.07096330686168478,0.5026303874955439
recordings/recordings/audio_20250904_153840.wav,115200,2.6122448979591835,0.55,0.7796278323162764,-31.291454362593683,40.13785038158229,2334.5454545454545,5075.296218867642,5159.160147072184,10826.214535361842,16819.01829769737,0.06164292112332737,0.104248046875,887.1607287588268,14547.06273722677,56013.3856266607,0.010285908676597542,0.1686613868010001,0.6494297487997786,-521.3193363940779,71.18977037728534,-39.429409663512864,-16.151759941839998,-29.86804405693628,-19.283601973182343,-21.392351491249098,-20.672433661394457,-22.959714575390894,-19.310940224958728,-18.530499480346297,-12.104455804725397,-18.211902577519634,0.5,-44.02915410708185,-60.199426236649714,6.43448223957179,422.0,4664.2039078568705,5363.5486304994365,10696.556775323275,17070.13739224138,0.04193578634232417,0.076416015625,41.02739495202482,15.275070702945513,3.1551028786870248,0.6638347559181229,0.24715492766672625,0.0510504493843424,-580.1842475654286,82.75622214726626,-32.87871255392846,-30.05589620442189,-45.073061191076775,-31.435744958027144,-33.44322086582974,-25.936245566880874,-33.713588473013324,-33.06914892050267,-25.206819651644423,-16.429880969380743,-24.948583140985406,411.0923110107715,-204.38848342725214,129.65776003856627,-251.1190945440103,0.0197071347810032,0.02783203125,1912.5454545454545,44.80878193939813,28.90797187405603,33.7033681420105,-0.6535488472415254,-0.07849354086572616,0.5983792994154361
recordings/recordings/audio_20250904_153903.wav,165376,3.7500226757369615,0.55,-0.1586459994250826,-31.644913273693355,37.52436603805298,2347.272727272727,5051.534248621178,5133.056807493364,10663.015522203947,16739.232113486843,0.05555972082549873,0.09600830078125,731.057591433543,26321.600067910367,39446.94423145242,0.00945196128408962,0.3403162044857801,0.5100158920724712,-459.1642766375117,68.02147335444782,-45.59934329259713,-17.957419182775485,-32.36665892143522,-19.24694070562482,-27.687665755708807,-23.894191235152164,-24.733922633198336,-22.303306978592776,-17.44879641039255,-11.58627562157229,-18.26769423475697,0.5,-35.18457146105702,-54.924762760397314,9.705313421384151,482.0,4795.004197238918,5355.778565793814,10822.785897090518,17054.791891163793,0.04858449193484004,0.06891424005681818,173.03724698450526,69.27321429836782,15.553816973110639,0.6505227231163624,0.26042832274390515,0.05847360350750069,-525.2596442934922,78.36592245161414,-37.91594027213,-30.291838197142837,-42.788751164952636,-29.951097269541254,-33.75484760776146,-28.086511949228335,-35.25942565311198,-33.46897297921649,-24.041199454920744,-15.410213525566805,-24.74646966725486,256.53005138226035,-222.72175830044944,-159.77037488657152,-315.55977767695003,0.006975228890658693,0.027094060724431823,1865.272727272727,35.025925461631935,23.27984948670396,27.81905261666883,-0.6410707618322727,0.07988788174187494,0.45154228856497053
recordings/recordings/audio_20250904_153932.wav,136704,3.0998639455782313,0.55,-0.14748115617047086,-31.662767457539772,37.64994230905151,2252.7272727272725,4990.236811179123,5122.124404947073,10760.708264802632,16647.88599917763,0.05326443062665198,0.10264078776041667,564.9414767440066,36036.4621291246,29604.92881983606,0.007387231340163962,0.4712163885774123,0.3871170147776486,-497.8526579737043,70.16124214106293,-45.62131361547077,-21.07514724256989,-18.248934438286167,-12.996548845304082,-33.577461854282326,-23.618752559472856,-18.137256559892563,-17.038329021783387,-17.028553555587457,-13.217217304282366,-17.835818335248074,0.5,-32.978042465275756,-56.362394184636656,14.76446062551201,438.0,4827.592358262078,5437.619725640371,11193.800511853447,17162.70541487069,0.04618541447011837,0.072998046875,88.3435887619155,45.3192917556555,8.930527622310414,0.5976625761602266,0.30659434419669485,0.0604168589936325,-540.270707773192,78.70207036766169,-34.391928727229875,-34.698005625595314,-49.633610582952045,-32.19185679040988,-33.79195191371043,-24.60621667912734,-33.45828344475159,-33.04767985808886,-22.748279008069694,-14.510324007611617,-26.834055362049323,162.64445291704487,-315.4953206932978,-433.0922470508158,-514.8194156930585,0.007079016156533613,0.02964274088541667,1814.7272727272725,32.830561309105285,24.699626727096884,22.885481683539503,-0.5902753448200626,0.16462204438071748,0.3267001557840161
recordings/recordings/audio_20250904_153951.wav,240896,5.462494331065759,0.55,-0.34272752286765606,-30.152230322851384,30.936782212274284,2425.4545454545455,5002.257487605559,5067.197398587366,10635.815686677632,16601.646278782893,0.05550360542058318,0.10478719075520833,629.3924360175782,31976.781000342777,72094.4181747465,0.005547585578294999,0.28184947731536564,0.6354540214566902,-480.1461973705559,67.02707455793667,-50.14047387092709,-17.39600754013966,-27.913619151656146,-19.854812973760335,-28.254964889889347,-23.28055438192369,-23.164117619319743,-16.6523154101021,-18.00946605393009,-12.117556269605908,-15.52687470549246,0.5,-40.903606865133526,-55.59165539842871,5.425033529155557,440.0,4690.062367899234,5278.195076193027,10622.551858836207,16857.775457974138,0.04253770470781872,0.06621759588068182,177.44156053834388,101.64908091077228,17.105251337396005,0.580004300584705,0.3322609646796382,0.05591203835320235,-534.7788604900586,77.59006044822523,-41.154443124131404,-33.42339883441585,-46.375945910507454,-30.434164238535562,-34.30176211868248,-25.369544449072816,-32.328315729094406,-35.23629165340899,-27.84054736385539,-17.645203305628428,-26.97920590154299,312.1951197063245,-210.997677605661,13.263827841425154,-256.1291791912445,0.012965900712764454,0.038569594874526505,1985.4545454545455,40.56087934226587,25.43942507557733,25.51174868311873,-0.5744567150064099,-0.05041148736427259,0.5795419831034878
recordings/recordings/audio_20250904_154010.wav,130304,2.9547392290249435,0.55,-0.2028623166150917,-31.889604890284403,38.4005220588392,2443.6363636363635,5003.560722636905,5063.083162253419,10545.149568256578,16600.059621710527,0.05643618430438948,0.10454305013020833,687.384313650382,16978.183214745073,44283.21698412099,0.009968397638308068,0.24621638594259249,0.6421920122921475,-498.77108873736626,67.62516456699107,-48.02008228464572,-16.15839631666251,-29.01969674743553,-20.685909441808136,-33.29123252315828,-23.019287144577913,-19.04051234852525,-17.576476708226313,-20.474137174919846,-13.461201794782836,-15.64877330192182,0.5,-42.44965332694895,-57.36449272491224,5.56854802994801,554.0,4673.423493011916,5319.043123430612,10620.571794181034,17006.28030711207,0.04199995710727839,0.06556285511363637,109.5650096090975,44.74313666742275,8.82259469743548,0.6506233659814367,0.2656955015747004,0.0523906882244167,-550.2563206902282,80.8062548555427,-35.670216212747775,-31.25180691618052,-47.920345277202095,-31.545973758988122,-34.08032372321573,-26.784994289024056,-31.6771727802754,-31.633167231535005,-24.12341938014996,-17.571306672673884,-26.142852932690037,330.1372296249883,-255.95996117719278,-75.42222592445614,-406.22068540154214,0.014436227197111087,0.03898019501657196,1889.6363636363635,42.24679101033386,25.474887834627836,32.83197402889119,-0.6406549683431286,-0.019479115632107913,0.5898013240677308
recordings/recordings/audio_20250904_154105.wav,126208,2.861859410430839,0.55,-0.054181759944384705,-29.2119810203039,28.700533058811168,2176.3636363636365,4548.372201242339,4793.482900366213,9517.222450657895,15561.252569901315,0.03483746433118499,0.09550984700520833,230.23109709141076,111365.920987613,15965.650890074201,0.0016888856759690123,0.8169370303282687,0.11711779788402088,-510.65497208759695,65.25690032262979,-37.307715744333784,-22.564814742862723,-2.5596083350456498,-7.375523724752479,-25.97076891101555,-24.472453413037908,-13.751906636952732,-10.265345108739124,-14.41341298869546,-13.881566222267082,-14.7563601187941,0.5,-45.68629247170233,-59.8874050679768,5.129270818341577,460.0,4404.9700939777995,5230.152178566088,10157.979189116379,16719.913456357757,0.0349307022417402,0.07542835582386363,63.19264030585178,26.97215119827658,3.820851007536115,0.6515465493505128,0.2780958661758915,0.039394813660160614,-581.7721493226763,88.70730887119893,-32.47271519324341,-29.427644728380674,-42.06616777397076,-26.479406640983896,-30.571862711352637,-25.484192258961148,-32.85184237840536,-33.989611963698984,-26.328515881397834,-17.57022580599858,-26.65941917723226,143.40210726453915,-436.6692781998754,-640.7567384584836,-1158.6608864564423,-9.323791055521058e-05,0.020081491181344696,1716.3636363636365,45.632110711757946,30.6754240476729,23.57126224046959,-0.6498576636745438,0.5388411641523772,0.07772298422386026
recordings/recordings/audio_20250904_154124.wav,145920,3.308843537414966,0.55,0.2170366274726761,-27.012259599598675,22.98607457387909,2176.3636363636365,4369.592108257434,4749.385883312253,9131.664782072368,15674.585217927632,0.025894891447278436,0.09330240885416667,301.83945273013376,209830.11904278514,13525.432233045238,0.0013301787299851745,0.9247020518239403,0.05960533690185996,-503.5880267280047,60.02708997141349,-32.77132629137633,-20.5679313922522,-0.544120100217569,-8.36390135956614,-25.033122149707236,-24.552831317077136,-13.051972802924285,-6.75437360523712,-11.059376310758461,-10.65106794330672,-11.596747550753841,0.5,-44.67499310191663,-62.25553982586295,7.568805345497978,300.0,4508.65268007938,5374.516015288992,10572.555226293103,16972.866716056036,0.035518401621449716,0.07469593394886363,69.88575146566521,9.650324721866639,1.7583603108353902,0.83392823342875,0.11515477874304399,0.02098204965953037,-620.044040234504,85.85572851247821,-25.43295485559589,-25.497988710168922,-42.05224368872266,-30.557113454410594,-34.47227646440241,-28.463772730744243,-34.594209472043715,-32.68508107507185,-26.069199149822676,-18.52044879169136,-25.62345567509845,-139.0605718219458,-625.130131976739,-1440.890444220735,-1298.2814981284046,-0.00962351017417128,0.01860647490530304,1876.3636363636365,44.8920297293893,35.243280226264275,15.417269228381112,-0.8325980546987648,0.8095472730808962,0.038623287242329586
recordings/recordings/audio_20250904_154140.wav,135168,3.0650340136054424,0.55,0.029686593694248246,-26.915914952664345,22.247441697638273,2169.090909090909,4428.406342722287,4801.553156063286,9179.264494243422,15891.730571546053,0.02720368322522335,0.09101359049479167,329.11512183336674,206388.3118543296,11528.85126479297,0.0014834031245342582,0.9302430862689829,0.05196337954092384,-496.66951671005955,63.69336733425789,-36.70843980675286,-23.0922041420614,-1.5000433120740773,-9.861508544159095,-25.102633540313192,-23.091427225324534,-13.863264134866967,-9.220283977750768,-10.029490115100302,-11.004870954336889,-13.299696433922483,0.5,-46.15983846474215,-60.83192125452679,5.415070803178136,384.0,4749.918675865167,5401.781185759958,10920.799097521553,17150.825026939656,0.04685586939098141,0.08241965553977272,52.1723372592853,24.634658346699172,4.040238600325289,0.6243967402399233,0.2948267449119433,0.048353436789639784,-594.235185264371,81.06453775967681,-33.205747374283696,-29.04664330455979,-41.36758779684171,-27.723409596248395,-30.476241686127647,-24.87019248117455,-33.0431288835362,-32.22572407194121,-25.897561763523527,-18.3170724487576,-28.250939776682625,-321.51233314287947,-600.2280296966719,-1741.5346032781308,-1259.0944553936024,-0.01965218616575806,0.00859393495501895,1785.090909090909,46.1895250584364,33.916006301862446,16.832370894460137,-0.6229133371153891,0.6354163413570396,0.0036099427512840537
recordings/recordings/audio_20250906_144944.wav,117760,2.670294784580499,0.17058956916099774,-8.863855462202073,-19.946391016411702,3.582009866082608,504.133989100093,4041.2178319799855,5064.383338113149,9247.0751953125,16161.38671875,0.02879909124321282,0.09248046875,73911.80128742228,18066.859083484218,2686.0709977279585,0.759580411452826,0.18567038033516955,0.02760434569456103,-147.66427719566684,98.23911226397352,-25.86343805921883,-26.54294550273207,-43.89792733245499,-31.648327332102415,-24.48343352833605,-21.329077902235394,-36.40444683008927,-35.3692900938827,-19.717424508408268,-14.247405034317275,-27.060341287709242,0.5,-8.802205361987399,-21.539080457462102,4.333549431286125,510.0,4582.454359071675,5284.992247373068,10414.892578125,16849.60769127155,0.04610258929772555,0.11651056463068182,462761.28429547773,114508.3871296055,17439.48481660626,0.7569788073141485,0.18731130986638295,0.02852727932230958,-166.38927586301602,83.0658045547358,-32.40817057513505,-28.471352207001836,-41.402100129039624,-27.66463855915223,-24.900335734044884,-23.66126116624233,-35.84540048460138,-33.4724564691416,-20.893832179879457,-15.980544456375252,-27.129598344236637,-541.2365270916894,-220.60890925991862,-1167.8173828125,-688.2209725215507,-0.01730349805451273,-0.02403009588068182,-5.866010899906996,-0.0616501002146741,1.5926894410503998,-0.7515395652035166,0.0026016041386774935,-0.001640929531213392,-0.0009229336277485518
